Participant ID,Participant Name,Interaction Method,Trial No.,A,W,Trial Start Time,Selection Time(Btn 1),Selection Time(Btn 2),Selection Time(Btn 3),Selection Time(Btn 4),Selection Time(Btn 5),Selection Time(Btn 6),Selection Time(Btn 7),Number of Error Selections
27,Guillermo,2-Virtual Hand Ray,1,15,7,33.97435,35.40514,36.58497,37.61237,39.34896,42.80609,44.8755,46.04193,0
27,Guillermo,2-Virtual Hand Ray,2,15,3,47.37496,48.87468,51.24863,52.54015,54.70639,56.10926,57.58082,59.27513,0
27,Guillermo,2-Virtual Hand Ray,3,15,5,60.53839,61.67762,63.44189,65.10861,66.70602,67.84482,69.34373,70.37125,0
27,Guillermo,2-Virtual Hand Ray,4,15,7,72.31535,73.34386,74.77356,75.91205,76.98167,78.48121,79.48116,81.07854,0
27,Guillermo,2-Virtual Hand Ray,5,15,3,82.81425,85.57761,88.54944,88.77199,90.88171,92.91005,95.50665,102.4072,1
27,Guillermo,2-Virtual Hand Ray,6,15,5,103.6435,106.741,109.6011,110.8093,113.3787,115.573,116.9756,118.3782,0
27,Guillermo,2-Virtual Hand Ray,7,15,7,120.1141,121.2812,124.3083,126.4748,128.4054,129.7796,131.1683,132.1127,0
27,Guillermo,2-Virtual Hand Ray,8,15,3,133.5433,135.2099,137.4454,143.8048,146.6095,148.7761,151.8732,154.7335,0
27,Guillermo,2-Virtual Hand Ray,9,15,5,156.3031,157.6091,159.3444,161.2742,163.7463,166.2743,167.8434,169.8012,0
27,Guillermo,2-Virtual Hand Ray,10,15,7,171.3014,172.5098,175.6066,176.9402,179.4674,181.675,183.4668,184.5774,0
27,Guillermo,2-Virtual Hand Ray,11,15,3,185.6053,187.8412,190.4381,192.9792,194.7707,197.6737,200.7017,202.5768,0
27,Guillermo,2-Virtual Hand Ray,12,15,5,203.7437,204.8687,207.2437,208.8677,210.2702,212.0059,213.8383,215.1017,0
27,Guillermo,2-Virtual Hand Ray,13,15,7,216.6702,217.7671,219.142,220.5445,221.5998,222.9051,224.3357,225.7105,0
27,Guillermo,2-Virtual Hand Ray,14,15,3,227.2101,230.1408,233.4042,235.3067,237.5005,240.2086,241.6385,243.4718,0
27,Guillermo,2-Virtual Hand Ray,15,15,5,244.569,246.0689,247.3748,248.9019,250.3315,252.6091,253.873,254.8309,0
